level1	level2	level3	pathway_id	KO	gene	KO_name	EC
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00174	korA, oorA, oforA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha	1.2.7.3 1.2.7.11
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00175	korB, oorB, oforB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta	1.2.7.3 1.2.7.11
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00177	korC, oorC	2-oxoglutarate ferredoxin oxidoreductase subunit gamma	1.2.7.3
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00176	korD, oorD	2-oxoglutarate ferredoxin oxidoreductase subunit delta	1.2.7.3
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K01902	sucD	succinyl-CoA synthetase alpha subunit	6.2.1.5
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K01903	sucC	succinyl-CoA synthetase beta subunit	6.2.1.5
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K01899	LSC1	succinyl-CoA synthetase alpha subunit	6.2.1.4 6.2.1.5
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K01900	LSC2	succinyl-CoA synthetase beta subunit	6.2.1.4 6.2.1.5
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K18118	aarC, cat1	succinyl-CoA:acetate CoA-transferase	2.8.3.18
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00234	SDHA, SDH1	succinate dehydrogenase (ubiquinone) flavoprotein subunit	1.3.5.1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00235	SDHB, SDH2	succinate dehydrogenase (ubiquinone) iron-sulfur subunit	1.3.5.1
